season,week,game_id,team,sack_rate_roll6,qb_hit_rate_roll6,tfl_rate_roll6
2019,11,2019_11_HOU_BAL,BAL,0.039718284764016475,0.13871896227079153,0.0
2019,12,2019_12_BAL_LA,BAL,0.06619931124504295,0.17871350226533153,0.0
2019,13,2019_13_SF_BAL,BAL,0.06953798645871817,0.19300303217986145,0.0
2019,14,2019_14_BAL_BUF,BAL,0.07590065878109357,0.19441695936261158,0.0
2019,15,2019_15_NYJ_BAL,BAL,0.09367153524762221,0.2025260000803479,0.0
2019,16,2019_16_BAL_CLE,BAL,0.09162905158749148,0.19721554256400806,0.0
2019,17,2019_17_PIT_BAL,BAL,0.08597428968272958,0.1850131616116271,0.0
2020,1,2020_01_CLE_BAL,BAL,,,
2020,2,2020_02_BAL_HOU,BAL,,,
2020,3,2020_03_KC_BAL,BAL,,,
2020,4,2020_04_BAL_WAS,BAL,,,
2020,5,2020_05_CIN_BAL,BAL,,,
2020,6,2020_06_BAL_PHI,BAL,,,
2020,8,2020_08_PIT_BAL,BAL,0.0875782794990112,0.2439419384541336,0.0
2020,9,2020_09_BAL_IND,BAL,0.08925211976682566,0.2440614984732632,0.0
2020,10,2020_10_BAL_NE,BAL,0.07258545310015899,0.20580392271568745,0.0
2020,11,2020_11_TEN_BAL,BAL,0.08135738292472039,0.21624669631635574,0.0
2020,12,2020_12_BAL_PIT,BAL,0.08074463782668118,0.2193104218065519,0.0
2020,13,2020_13_DAL_BAL,BAL,0.04921310629514963,0.17135069737623917,0.0
2020,14,2020_14_BAL_CLE,BAL,0.03178113350603399,0.12932972231954984,0.0
2020,15,2020_15_JAX_BAL,BAL,0.021977211937406538,0.12182672111906963,0.0
2020,16,2020_16_NYG_BAL,BAL,0.04648701585897517,0.14366272824919443,0.0
