game_id,posteam,fixed_drive,order_sequence,ydstogo,yardline_100,game_seconds_remaining,field_goal_attempt,punt_attempt,kick_distance,epa,wp,season,week,game_date,home_team,away_team,defteam,decision,drive_epa,drive_success_rate,drive_posteam_score_start,drive_posteam_score_end,drive_start_yard_line,fixed_drive_result,drive_points,epa_per_drive_roll6,success_rate_roll6,points_per_drive_roll6,ydstogo_bin,yardline_bin,off_go_attempts,off_go_conv_rate,def_go_faced,def_go_stop_rate
2022_10_MIN_BUF,MIN,25.0,4940.0,15.0,15.0,225.0,1.0,0.0,33.0,0.2619823,0.94418555,2022,10,2022-11-13,BUF,MIN,BUF,FG,2.0199716,0.4666666666666667,30.0,33.0,MIN 25,Field goal,3.0,0.26390868,0.4088211301993352,2.3258483,11+,0-20,,,1.0,1.0
2022_12_LV_SEA,LV,25.0,4331.0,2.0,38.0,356.0,1.0,0.0,56.0,-2.6294615,0.5911183,2022,12,2022-11-27,SEA,LV,SEA,FG,-3.174149,0.3333333333333333,34.0,34.0,LV 25,Missed field goal,0.0,0.27597502,0.3764520823221803,2.162963,2,21-40,1.0,1.0,3.0,1.0
2022_12_TB_CLE,TB,23.0,4089.0,14.0,57.0,455.0,0.0,1.0,42.0,-0.41251472,0.3176642,2022,12,2022-11-27,CLE,TB,CLE,PUNT,-1.8662188,0.3333333333333333,17.0,17.0,TB 25,Punt,0.0,0.08299263,0.3787769562209904,1.6172494,11+,41-60,,,,
2022_13_WAS_NYG,NYG,23.0,4000.0,12.0,64.0,461.0,0.0,1.0,31.0,-0.873146,0.3171421,2022,13,2022-12-04,NYG,WAS,WAS,PUNT,-2.622896,0.5,20.0,20.0,NYG 27,Punt,0.0,0.20067096,0.3856444423734976,2.0155303,11+,61-80,1.0,0.0,,
2022_15_DAL_JAX,JAX,24.0,4268.0,3.0,68.0,536.0,0.0,1.0,48.0,-0.08495906,0.33576086,2022,15,2022-12-18,JAX,DAL,DAL,PUNT,-1.82739,0.1666666666666666,34.0,34.0,JAX 25,Punt,0.0,0.09771877,0.3920363409837485,2.107744,3-5,61-80,2.0,0.5,3.0,0.3333333333333333
2022_15_IND_MIN,MIN,33.0,5079.0,10.0,39.0,298.0,0.0,1.0,26.0,-0.98148346,0.42819646,2022,15,2022-12-17,MIN,IND,IND,PUNT,-1.9023271,0.4166666666666667,36.0,36.0,MIN 17,Punt,0.0,-0.16000928,0.3405189131716281,1.8690976,6-10,21-40,1.0,0.0,2.0,1.0
2022_15_KC_HOU,KC,22.0,4070.0,16.0,55.0,341.0,0.0,1.0,42.0,-0.11255831,0.33550048,2022,15,2022-12-18,HOU,KC,HOU,PUNT,-1.4603852,0.4444444444444444,24.0,24.0,KC 9,Punt,0.0,0.8371658,0.4351176302432283,2.4767315,11+,41-60,,,1.0,1.0
2022_16_TB_ARI,ARI,27.0,4571.0,9.0,64.0,470.0,0.0,1.0,52.0,-0.09535801,0.37028316,2022,16,2022-12-25,ARI,TB,TB,PUNT,-1.888119,0.125,16.0,16.0,ARI 25,Punt,0.0,-0.9606612,0.3378289722203902,1.5243784,6-10,61-80,1.0,0.0,2.0,1.0
2022_18_LA_SEA,SEA,23.0,3807.0,7.0,72.0,566.0,0.0,1.0,52.0,0.04218726,0.30948898,2022,18,2023-01-08,SEA,LA,LA,PUNT,-2.0765383,0.2,16.0,16.0,SEA 25,Punt,0.0,-0.22732748,0.3880006027922695,1.8981962,6-10,61-80,2.0,0.0,,
2023_01_BUF_NYJ,BUF,22.0,4010.0,12.0,77.0,561.0,0.0,1.0,42.0,-5.435014,0.25525525,2023,1,2023-09-11,NYJ,BUF,NYJ,PUNT,-7.9800286,0.0,16.0,16.0,BUF 25,Opp touchdown,0.0,,,,11+,61-80,,,1.0,
