season,team,ydstogo_bin,yardline_bin,go_attempts,go_conv_rate,side,go_faced,go_stop_rate
2019,BUF,2,21-40,1.0,0.0,offense,,
2019,BUF,6-10,41-60,1.0,0.0,offense,,
2019,JAX,3-5,61-80,2.0,0.5,offense,,
2019,NYJ,1,41-60,5.0,0.6,offense,,
2019,ARI,2,21-40,2.0,0.5,offense,,
2019,PHI,2,41-60,1.0,0.0,offense,,
2019,LAC,6-10,41-60,1.0,0.0,offense,,
2019,LA,11+,81-100,1.0,0.0,offense,,
2019,SF,6-10,41-60,1.0,0.0,offense,,
2019,HOU,1,41-60,3.0,0.3333333333333333,offense,,
2019,DEN,3-5,41-60,2.0,0.0,offense,,
2019,LA,3-5,41-60,1.0,1.0,offense,,
2019,LA,3-5,0-20,2.0,0.0,offense,,
2019,LA,1,21-40,1.0,0.0,offense,,
2019,NYJ,3-5,21-40,2.0,0.0,offense,,
2019,PHI,2,61-80,1.0,1.0,offense,,
2019,WAS,1,21-40,1.0,0.0,offense,,
2019,ARI,11+,61-80,1.0,0.0,offense,,
2019,MIA,1,41-60,1.0,0.0,offense,,
2019,BUF,3-5,61-80,1.0,0.0,offense,,
2019,ATL,1,61-80,1.0,1.0,offense,,
2019,GB,6-10,41-60,2.0,0.0,offense,,
2019,MIN,1,0-20,2.0,0.5,offense,,
2019,SF,1,0-20,1.0,1.0,offense,,
2019,TB,3-5,21-40,4.0,0.25,offense,,
2019,TEN,3-5,41-60,1.0,1.0,offense,,
2019,ATL,11+,61-80,2.0,0.5,offense,,
2019,BUF,3-5,21-40,3.0,0.0,offense,,
2019,CLE,2,41-60,1.0,1.0,offense,,
2019,CHI,1,61-80,2.0,0.5,offense,,
2019,MIA,1,61-80,1.0,0.0,offense,,
2019,CAR,2,21-40,2.0,0.5,offense,,
2019,CAR,3-5,41-60,1.0,1.0,offense,,
2019,ATL,1,41-60,1.0,1.0,offense,,
2019,DEN,6-10,21-40,3.0,0.3333333333333333,offense,,
2019,PIT,1,21-40,1.0,0.0,offense,,
2019,DAL,1,81-100,1.0,1.0,offense,,
2019,DAL,6-10,0-20,1.0,0.0,offense,,
2019,DAL,3-5,21-40,1.0,0.0,offense,,
2019,NYG,1,41-60,1.0,1.0,offense,,
2019,ARI,2,61-80,1.0,1.0,offense,,
2019,PHI,2,0-20,1.0,0.0,offense,,
2019,BAL,2,21-40,1.0,1.0,offense,,
2019,CIN,3-5,0-20,2.0,0.5,offense,,
2019,NE,3-5,0-20,1.0,0.0,offense,,
2019,CLE,6-10,0-20,2.0,0.5,offense,,
2019,LV,11+,21-40,1.0,0.0,offense,,
2019,LA,3-5,21-40,1.0,0.0,offense,,
2019,SEA,3-5,81-100,1.0,0.0,offense,,
2019,CAR,6-10,61-80,1.0,,offense,,
2019,MIN,11+,61-80,1.0,0.0,offense,,
2019,LA,6-10,81-100,1.0,0.0,offense,,
2019,MIA,11+,21-40,1.0,0.0,offense,,
2019,PIT,6-10,81-100,1.0,0.0,offense,,
2020,LA,1,41-60,2.0,1.0,offense,,
2020,LA,3-5,61-80,1.0,0.0,offense,,
2020,IND,1,61-80,1.0,1.0,offense,,
2020,CAR,1,41-60,5.0,0.4,offense,,
2020,DEN,1,0-20,3.0,0.0,offense,,
2020,JAX,3-5,21-40,3.0,0.6666666666666666,offense,,
2020,LA,1,61-80,2.0,0.5,offense,,
2020,LV,1,0-20,8.0,0.875,offense,,
2020,CHI,11+,61-80,2.0,0.0,offense,,
2020,PIT,1,41-60,3.0,0.6666666666666666,offense,,
2020,MIA,1,41-60,2.0,1.0,offense,,
2020,JAX,6-10,21-40,2.0,0.0,offense,,
2020,LV,1,61-80,4.0,0.5,offense,,
2020,BUF,6-10,41-60,2.0,0.0,offense,,
2020,NE,6-10,21-40,2.0,0.0,offense,,
2020,LAC,11+,61-80,2.0,0.0,offense,,
2020,TB,1,81-100,1.0,1.0,offense,,
2020,NE,1,41-60,1.0,1.0,offense,,
2020,DET,1,21-40,3.0,0.3333333333333333,offense,,
2020,HOU,1,0-20,3.0,0.6666666666666666,offense,,
